CBSA,ZIP,num_listings
CBSA,ZIP,num_listings
"Atlanta-Sandy Springs-Roswell, GA",36272,2
"Atlanta-Sandy Springs-Roswell, GA",36273,0
"Atlanta-Sandy Springs-Roswell, GA",31016,0
"Atlanta-Sandy Springs-Roswell, GA",31097,0
"Atlanta-Sandy Springs-Roswell, GA",36274,0
"Atlanta-Sandy Springs-Roswell, GA",30241,21
"Atlanta-Sandy Springs-Roswell, GA",31830,0
"Atlanta-Sandy Springs-Roswell, GA",30625,0
"Atlanta-Sandy Springs-Roswell, GA",36263,0
"Atlanta-Sandy Springs-Roswell, GA",30240,37
"Atlanta-Sandy Springs-Roswell, GA",30642,9
"Atlanta-Sandy Springs-Roswell, GA",31836,0
"Atlanta-Sandy Springs-Roswell, GA",31822,1
"Atlanta-Sandy Springs-Roswell, GA",31826,0
"Austin-Round Rock, TX",78702,149
"Austin-Round Rock, TX",78704,242
"Austin-Round Rock, TX",78703,105
"Austin-Round Rock, TX",78701,123
"Austin-Round Rock, TX",78705,563
"Austin-Round Rock, TX",78746,58
"Austin-Round Rock, TX",78722,35
"Austin-Round Rock, TX",78741,150
"Austin-Round Rock, TX",78712,0
"Austin-Round Rock, TX",78751,229
"Austin-Round Rock, TX",78723,87
"Austin-Round Rock, TX",78721,40
"Austin-Round Rock, TX",78756,46
"Austin-Round Rock, TX",78731,43
"Austin-Round Rock, TX",78745,181
"Austin-Round Rock, TX",78744,70
"Austin-Round Rock, TX",78742,0
"Austin-Round Rock, TX",78735,44
"Austin-Round Rock, TX",78725,22
"Austin-Round Rock, TX",78719,2
"Austin-Round Rock, TX",78617,14
"Austin-Round Rock, TX",78752,53
"Austin-Round Rock, TX",78757,80
"Austin-Round Rock, TX",78724,33
"Austin-Round Rock, TX",78749,55
"Austin-Round Rock, TX",78754,45
"Austin-Round Rock, TX",78747,36
"Austin-Round Rock, TX",78758,107
"Austin-Round Rock, TX",78733,20
"Austin-Round Rock, TX",78730,16
"Austin-Round Rock, TX",78748,92
"Austin-Round Rock, TX",78753,48
"Austin-Round Rock, TX",78653,48
"Austin-Round Rock, TX",78759,72
"Austin-Round Rock, TX",78738,42
"Austin-Round Rock, TX",78750,35
"Austin-Round Rock, TX",78736,24
"Austin-Round Rock, TX",78660,169
"Austin-Round Rock, TX",78732,23
"Austin-Round Rock, TX",78612,12
"Austin-Round Rock, TX",78621,14
"Austin-Round Rock, TX",78610,42
"Austin-Round Rock, TX",78616,2
"Austin-Round Rock, TX",78726,16
"Austin-Round Rock, TX",78737,28
"Austin-Round Rock, TX",78739,12
"Austin-Round Rock, TX",78652,8
"Austin-Round Rock, TX",78734,47
"Austin-Round Rock, TX",78727,57
"Austin-Round Rock, TX",78620,20
"Austin-Round Rock, TX",78669,16
"Austin-Round Rock, TX",78663,0
"Austin-Round Rock, TX",78728,31
"Austin-Round Rock, TX",78640,62
"Austin-Round Rock, TX",78729,72
"Austin-Round Rock, TX",78613,136
"Austin-Round Rock, TX",78641,154
"Austin-Round Rock, TX",78619,3
"Austin-Round Rock, TX",78717,66
"Austin-Round Rock, TX",78664,91
"Austin-Round Rock, TX",78645,35
"Austin-Round Rock, TX",78681,76
"Austin-Round Rock, TX",78602,51
"Austin-Round Rock, TX",78644,8
"Austin-Round Rock, TX",78615,1
"Austin-Round Rock, TX",78656,1
"Austin-Round Rock, TX",78654,23
"Austin-Round Rock, TX",78665,110
"Austin-Round Rock, TX",78634,73
"Austin-Round Rock, TX",78676,19
"Austin-Round Rock, TX",78662,0
"Austin-Round Rock, TX",76574,22
"Austin-Round Rock, TX",78628,70
"Austin-Round Rock, TX",78626,97
"Austin-Round Rock, TX",78605,0
"Austin-Round Rock, TX",78666,132
"Austin-Round Rock, TX",76578,0
"Austin-Round Rock, TX",78953,1
"Austin-Round Rock, TX",78650,1
"Austin-Round Rock, TX",78606,3
"Austin-Round Rock, TX",78636,2
"Austin-Round Rock, TX",78622,0
"Austin-Round Rock, TX",78638,1
"Austin-Round Rock, TX",78670,0
"Austin-Round Rock, TX",78655,1
"Austin-Round Rock, TX",78642,35
"Austin-Round Rock, TX",78957,4
"Austin-Round Rock, TX",78623,0
"Austin-Round Rock, TX",78659,3
"Austin-Round Rock, TX",78633,23
"Austin-Round Rock, TX",78648,10
"Austin-Round Rock, TX",76530,1
"Austin-Round Rock, TX",78133,58
"Austin-Round Rock, TX",78132,23
"Austin-Round Rock, TX",76573,0
"Austin-Round Rock, TX",76511,2
"Austin-Round Rock, TX",76537,18
"Austin-Round Rock, TX",76577,0
"Austin-Round Rock, TX",78130,249
"Austin-Round Rock, TX",78155,43
"Austin-Round Rock, TX",78947,2
"Austin-Round Rock, TX",78942,8
"Austin-Round Rock, TX",76527,1
"Austin-Round Rock, TX",78661,0
"Austin-Round Rock, TX",78959,0
"Austin-Round Rock, TX",78632,0
"Austin-Round Rock, TX",78629,0
"Austin-Round Rock, TX",76571,3
"Austin-Round Rock, TX",78945,10
"Austin-Round Rock, TX",78949,0
"Austin-Round Rock, TX",78941,0
"Baltimore-Columbia-Towson, MD",21230,338
"Baltimore-Columbia-Towson, MD",21201,146
"Baltimore-Columbia-Towson, MD",21202,222
"Baltimore-Columbia-Towson, MD",21231,183
"Baltimore-Columbia-Towson, MD",21205,87
"Baltimore-Columbia-Towson, MD",21217,261
"Baltimore-Columbia-Towson, MD",21223,117
"Baltimore-Columbia-Towson, MD",21213,145
"Baltimore-Columbia-Towson, MD",21218,289
"Baltimore-Columbia-Towson, MD",21224,357
"Baltimore-Columbia-Towson, MD",21225,110
"Baltimore-Columbia-Towson, MD",21226,47
"Baltimore-Columbia-Towson, MD",21211,72
"Baltimore-Columbia-Towson, MD",21216,142
"Baltimore-Columbia-Towson, MD",21215,177
"Baltimore-Columbia-Towson, MD",21206,105
"Baltimore-Columbia-Towson, MD",21222,116
"Baltimore-Columbia-Towson, MD",21210,32
"Baltimore-Columbia-Towson, MD",21229,164
"Baltimore-Columbia-Towson, MD",21227,39
"Baltimore-Columbia-Towson, MD",21251,0
"Baltimore-Columbia-Towson, MD",21237,28
"Baltimore-Columbia-Towson, MD",21209,40
"Baltimore-Columbia-Towson, MD",21090,10
"Baltimore-Columbia-Towson, MD",21212,105
"Baltimore-Columbia-Towson, MD",21214,36
"Baltimore-Columbia-Towson, MD",21207,82
"Baltimore-Columbia-Towson, MD",21239,56
"Baltimore-Columbia-Towson, MD",21228,40
"Baltimore-Columbia-Towson, MD",21060,56
"Baltimore-Columbia-Towson, MD",21061,62
"Baltimore-Columbia-Towson, MD",21234,86
"Baltimore-Columbia-Towson, MD",21240,0
"Baltimore-Columbia-Towson, MD",21077,0
"Baltimore-Columbia-Towson, MD",21075,45
"Baltimore-Columbia-Towson, MD",21076,55
"Baltimore-Columbia-Towson, MD",21250,0
"Baltimore-Columbia-Towson, MD",21244,36
"Baltimore-Columbia-Towson, MD",21204,34
"Baltimore-Columbia-Towson, MD",21221,51
"Baltimore-Columbia-Towson, MD",21286,22
"Baltimore-Columbia-Towson, MD",21219,8
"Baltimore-Columbia-Towson, MD",21122,55
"Baltimore-Columbia-Towson, MD",21236,37
"Baltimore-Columbia-Towson, MD",21093,31
"Baltimore-Columbia-Towson, MD",21252,0
"Baltimore-Columbia-Towson, MD",21208,39
"Baltimore-Columbia-Towson, MD",21220,52
"Baltimore-Columbia-Towson, MD",21043,55
"Baltimore-Columbia-Towson, MD",21057,1
"Baltimore-Columbia-Towson, MD",21153,0
"Baltimore-Columbia-Towson, MD",21144,40
"Baltimore-Columbia-Towson, MD",21117,67
"Baltimore-Columbia-Towson, MD",21133,24
"Baltimore-Columbia-Towson, MD",21163,7
"Baltimore-Columbia-Towson, MD",21042,20
"Baltimore-Columbia-Towson, MD",21162,2
"Baltimore-Columbia-Towson, MD",21131,1
