CBSA,ZIP,num_listings
"Austin-Round Rock, TX",78731,40
"Austin-Round Rock, TX",78745,177
"Austin-Round Rock, TX",78744,68
"Austin-Round Rock, TX",78742,0
"Austin-Round Rock, TX",78735,48
"Austin-Round Rock, TX",78725,22
"Austin-Round Rock, TX",78719,2
"Austin-Round Rock, TX",78617,14
"Austin-Round Rock, TX",78752,51
"Austin-Round Rock, TX",78757,78
"Austin-Round Rock, TX",78724,34
"Austin-Round Rock, TX",78749,51
"Austin-Round Rock, TX",78754,47
"Austin-Round Rock, TX",78747,33
"Austin-Round Rock, TX",78758,111
"Austin-Round Rock, TX",78733,19
"Austin-Round Rock, TX",78730,19
"Austin-Round Rock, TX",78748,91
"Austin-Round Rock, TX",78753,50
"Austin-Round Rock, TX",78653,52
"Austin-Round Rock, TX",78759,68
"Austin-Round Rock, TX",78738,44
"Austin-Round Rock, TX",78750,38
"Austin-Round Rock, TX",78736,25
"Austin-Round Rock, TX",78660,160
"Austin-Round Rock, TX",78732,22
"Austin-Round Rock, TX",78612,13
"Austin-Round Rock, TX",78621,15
"Austin-Round Rock, TX",78610,41
"Austin-Round Rock, TX",78616,2
"Austin-Round Rock, TX",78726,16
"Austin-Round Rock, TX",78737,28
"Austin-Round Rock, TX",78739,13
"Austin-Round Rock, TX",78652,7
"Austin-Round Rock, TX",78734,51
"Austin-Round Rock, TX",78727,58
"Austin-Round Rock, TX",78620,23
"Austin-Round Rock, TX",78669,16
"Austin-Round Rock, TX",78663,0
"Austin-Round Rock, TX",78728,30
"Austin-Round Rock, TX",78640,73
"Austin-Round Rock, TX",78729,74
"Austin-Round Rock, TX",78613,139
"Austin-Round Rock, TX",78641,152
"Austin-Round Rock, TX",78619,3
"Austin-Round Rock, TX",78717,66
"Austin-Round Rock, TX",78664,92
"Austin-Round Rock, TX",78645,37
"Austin-Round Rock, TX",78681,79
"Austin-Round Rock, TX",78602,51
"Austin-Round Rock, TX",78644,8
"Austin-Round Rock, TX",78615,1
"Austin-Round Rock, TX",78656,1
